
Episode 0 finished after 857 time steps with total reward = -9986.00, explorations = 13, exploitations = 0, last epsilon used = 1.
Episode 100 finished after 593 time steps with total reward = -9968.00, explorations = 455, exploitations = 45, last epsilon used = 0.9047921471137096.
Episode 200 finished after 409 time steps with total reward = -9964.00, explorations = 279, exploitations = 77, last epsilon used = 0.818648829478636.
Episode 300 finished after 334 time steps with total reward = -9969.00, explorations = 195, exploitations = 71, last epsilon used = 0.7407070321560997.
Episode 400 finished after 435 time steps with total reward = -9960.00, explorations = 227, exploitations = 108, last epsilon used = 0.6701859060067403.
Episode 500 finished after 221 time steps with total reward = -9968.00, explorations = 108, exploitations = 75, last epsilon used = 0.6063789448611848.
Episode 600 finished after 266 time steps with total reward = -9931.00, explorations = 114, exploitations = 115, last epsilon used = 0.5486469074854965.
Episode 700 finished after 156 time steps with total reward = -9963.00, explorations = 73, exploitations = 57, last epsilon used = 0.4964114134310989.
Episode 800 finished after 208 time steps with total reward = -9933.00, explorations = 85, exploitations = 93, last epsilon used = 0.4491491486100748.
Episode 900 finished after 157 time steps with total reward = -9936.00, explorations = 49, exploitations = 73, last epsilon used = 0.4063866225452039.
Episode 0 finished after 72 time steps with total reward = -9963.00, explorations = 2, exploitations = 58, last epsilon used = 0.05.
Episode 100 finished after 305 time steps with total reward = -9957.00, explorations = 204, exploitations = 60, last epsilon used = 0.9436225637280606.
Episode 200 finished after 72 time steps with total reward = -9966.00, explorations = 7, exploitations = 50, last epsilon used = 0.05.
Episode 300 finished after 58 time steps with total reward = -9963.00, explorations = 3, exploitations = 45, last epsilon used = 0.05.
Episode 400 finished after 118 time steps with total reward = -9937.00, explorations = 42, exploitations = 70, last epsilon used = 0.7818259902485653.
Episode 500 finished after 181 time steps with total reward = -9934.00, explorations = 86, exploitations = 77, last epsilon used = 0.7166507822451117.
Episode 600 finished after 277 time steps with total reward = -9935.00, explorations = 96, exploitations = 132, last epsilon used = 0.654940006215578.
Episode 700 finished after 120 time steps with total reward = -9939.00, explorations = 29, exploitations = 75, last epsilon used = 0.6033531078655693.
Episode 800 finished after 125 time steps with total reward = -9937.00, explorations = 38, exploitations = 74, last epsilon used = 0.548098260578011.
Episode 900 finished after 129 time steps with total reward = -9931.00, explorations = 36, exploitations = 83, last epsilon used = 0.49940033441307996.
Episode 0 finished after 673 time steps with total reward = -9938.00, explorations = 517, exploitations = 68, last epsilon used = 1.
Episode 100 finished after 91 time steps with total reward = -9937.00, explorations = 17, exploitations = 72, last epsilon used = 0.9075119613694457.
Episode 200 finished after 89 time steps with total reward = -9937.00, explorations = 14, exploitations = 72, last epsilon used = 0.8219316276865206.
Episode 300 finished after 102 time steps with total reward = -9939.00, explorations = 19, exploitations = 75, last epsilon used = 0.7436772821951526.
Episode 400 finished after 93 time steps with total reward = -9938.00, explorations = 13, exploitations = 75, last epsilon used = 0.6762478484398523.
Episode 500 finished after 104 time steps with total reward = -9939.00, explorations = 22, exploitations = 77, last epsilon used = 0.6118637427709198.
Episode 600 finished after 61 time steps with total reward = -9964.00, explorations = 4, exploitations = 46, last epsilon used = 0.05.
Episode 700 finished after 95 time steps with total reward = -9928.00, explorations = 13, exploitations = 77, last epsilon used = 0.5039174930867489.
Episode 800 finished after 96 time steps with total reward = -9930.00, explorations = 12, exploitations = 79, last epsilon used = 0.4568538413670094.
Episode 900 finished after 93 time steps with total reward = -9927.00, explorations = 14, exploitations = 75, last epsilon used = 0.41377153958718943.
Episode 0 finished after 101 time steps with total reward = -9928.00, explorations = 17, exploitations = 78, last epsilon used = 1.
Episode 100 finished after 94 time steps with total reward = -9929.00, explorations = 14, exploitations = 75, last epsilon used = 0.9102399514140735.
Episode 200 finished after 115 time steps with total reward = -9932.00, explorations = 16, exploitations = 89, last epsilon used = 0.8244023623910088.
Episode 300 finished after 94 time steps with total reward = -9931.00, explorations = 14, exploitations = 78, last epsilon used = 0.750403966288439.
