
Episode 0 finished after 672 time steps with total reward = 10422.00, explorations = 33, exploitations = 598, last epsilon used = 0.05.
Episode 100 finished after 404 time steps with total reward = -9695.00, explorations = 14, exploitations = 364, last epsilon used = 0.05.
Episode 200 finished after 415 time steps with total reward = -9700.00, explorations = 22, exploitations = 362, last epsilon used = 0.05.
Episode 300 finished after 231 time steps with total reward = -9845.00, explorations = 13, exploitations = 198, last epsilon used = 0.05.
Episode 400 finished after 612 time steps with total reward = 10422.00, explorations = 25, exploitations = 570, last epsilon used = 0.05.
Episode 500 finished after 583 time steps with total reward = 10422.00, explorations = 26, exploitations = 537, last epsilon used = 0.05.
Episode 600 finished after 386 time steps with total reward = -9699.00, explorations = 24, exploitations = 347, last epsilon used = 0.05.
Episode 700 finished after 442 time steps with total reward = -9706.00, explorations = 32, exploitations = 379, last epsilon used = 0.05.
Episode 800 finished after 306 time steps with total reward = -9763.00, explorations = 13, exploitations = 285, last epsilon used = 0.05.
Episode 900 finished after 439 time steps with total reward = -9696.00, explorations = 23, exploitations = 396, last epsilon used = 0.05.
Episode 0 finished after 317 time steps with total reward = -9755.00, explorations = 15, exploitations = 282, last epsilon used = 0.05.
Episode 100 finished after 422 time steps with total reward = -9694.00, explorations = 19, exploitations = 374, last epsilon used = 0.05.
Episode 200 finished after 551 time steps with total reward = 10422.00, explorations = 21, exploitations = 519, last epsilon used = 0.05.
Episode 300 finished after 559 time steps with total reward = 10422.00, explorations = 36, exploitations = 502, last epsilon used = 0.05.
Episode 400 finished after 549 time steps with total reward = 10422.00, explorations = 24, exploitations = 509, last epsilon used = 0.05.
Episode 500 finished after 552 time steps with total reward = 10422.00, explorations = 22, exploitations = 518, last epsilon used = 0.05.
Episode 600 finished after 403 time steps with total reward = -9694.00, explorations = 22, exploitations = 365, last epsilon used = 0.05.
Episode 700 finished after 573 time steps with total reward = 10422.00, explorations = 28, exploitations = 528, last epsilon used = 0.05.
Episode 800 finished after 560 time steps with total reward = 10422.00, explorations = 33, exploitations = 508, last epsilon used = 0.05.
Episode 900 finished after 384 time steps with total reward = -9702.00, explorations = 14, exploitations = 359, last epsilon used = 0.05.
Episode 0 finished after 414 time steps with total reward = -9694.00, explorations = 22, exploitations = 370, last epsilon used = 0.05.
Episode 100 finished after 411 time steps with total reward = -9702.00, explorations = 20, exploitations = 375, last epsilon used = 0.05.
Episode 200 finished after 637 time steps with total reward = 10422.00, explorations = 27, exploitations = 577, last epsilon used = 0.05.
Episode 300 finished after 407 time steps with total reward = -9724.00, explorations = 21, exploitations = 369, last epsilon used = 0.05.
Episode 400 finished after 309 time steps with total reward = -9756.00, explorations = 16, exploitations = 281, last epsilon used = 0.05.
Episode 500 finished after 432 time steps with total reward = -9696.00, explorations = 22, exploitations = 384, last epsilon used = 0.05.
Episode 600 finished after 423 time steps with total reward = -9694.00, explorations = 22, exploitations = 382, last epsilon used = 0.05.
Episode 700 finished after 236 time steps with total reward = -9814.00, explorations = 15, exploitations = 213, last epsilon used = 0.05.
Episode 800 finished after 405 time steps with total reward = -9707.00, explorations = 16, exploitations = 368, last epsilon used = 0.05.
Episode 900 finished after 424 time steps with total reward = -9706.00, explorations = 25, exploitations = 383, last epsilon used = 0.05.
Episode 0 finished after 418 time steps with total reward = -9705.00, explorations = 16, exploitations = 387, last epsilon used = 0.05.
Episode 100 finished after 458 time steps with total reward = -9700.00, explorations = 32, exploitations = 405, last epsilon used = 0.05.
Episode 200 finished after 317 time steps with total reward = -9753.00, explorations = 13, exploitations = 295, last epsilon used = 0.05.
Episode 300 finished after 552 time steps with total reward = 10422.00, explorations = 23, exploitations = 505, last epsilon used = 0.05.
Episode 400 finished after 90 time steps with total reward = -9935.00, explorations = 4, exploitations = 80, last epsilon used = 0.05.
Episode 500 finished after 606 time steps with total reward = 10422.00, explorations = 35, exploitations = 535, last epsilon used = 0.05.
Episode 600 finished after 580 time steps with total reward = 10422.00, explorations = 26, exploitations = 539, last epsilon used = 0.05.
Episode 700 finished after 462 time steps with total reward = -9694.00, explorations = 21, exploitations = 421, last epsilon used = 0.05.
Episode 800 finished after 576 time steps with total reward = 10422.00, explorations = 36, exploitations = 532, last epsilon used = 0.05.
Episode 900 finished after 570 time steps with total reward = 10422.00, explorations = 26, exploitations = 526, last epsilon used = 0.05.
Episode 0 finished after 612 time steps with total reward = 10422.00, explorations = 32, exploitations = 563, last epsilon used = 0.05.
Episode 100 finished after 555 time steps with total reward = 10422.00, explorations = 25, exploitations = 515, last epsilon used = 0.05.
Episode 200 finished after 293 time steps with total reward = -9755.00, explorations = 9, exploitations = 276, last epsilon used = 0.05.
Episode 300 finished after 306 time steps with total reward = -9762.00, explorations = 13, exploitations = 288, last epsilon used = 0.05.
Episode 400 finished after 421 time steps with total reward = -9724.00, explorations = 21, exploitations = 378, last epsilon used = 0.05.
Episode 500 finished after 551 time steps with total reward = 10422.00, explorations = 30, exploitations = 507, last epsilon used = 0.05.
Episode 600 finished after 314 time steps with total reward = -9753.00, explorations = 17, exploitations = 287, last epsilon used = 0.05.
Episode 700 finished after 578 time steps with total reward = 10422.00, explorations = 38, exploitations = 522, last epsilon used = 0.05.
Episode 800 finished after 336 time steps with total reward = -9763.00, explorations = 29, exploitations = 292, last epsilon used = 0.05.
Episode 900 finished after 554 time steps with total reward = 10422.00, explorations = 19, exploitations = 519, last epsilon used = 0.05.
Episode 0 finished after 591 time steps with total reward = 10422.00, explorations = 37, exploitations = 532, last epsilon used = 0.05.
Episode 100 finished after 545 time steps with total reward = -9703.00, explorations = 25, exploitations = 474, last epsilon used = 0.05.
Episode 200 finished after 594 time steps with total reward = 10422.00, explorations = 34, exploitations = 544, last epsilon used = 0.05.
Episode 300 finished after 621 time steps with total reward = 10422.00, explorations = 27, exploitations = 556, last epsilon used = 0.05.
Episode 400 finished after 560 time steps with total reward = 10422.00, explorations = 21, exploitations = 529, last epsilon used = 0.05.
Episode 500 finished after 343 time steps with total reward = -9759.00, explorations = 26, exploitations = 296, last epsilon used = 0.05.
Episode 600 finished after 317 time steps with total reward = -9756.00, explorations = 15, exploitations = 294, last epsilon used = 0.05.
Episode 700 finished after 571 time steps with total reward = 10422.00, explorations = 34, exploitations = 523, last epsilon used = 0.05.
Episode 800 finished after 547 time steps with total reward = 10422.00, explorations = 21, exploitations = 513, last epsilon used = 0.05.
Episode 900 finished after 444 time steps with total reward = -9684.00, explorations = 22, exploitations = 406, last epsilon used = 0.05.
Episode 0 finished after 579 time steps with total reward = 10422.00, explorations = 38, exploitations = 526, last epsilon used = 0.05.
Episode 100 finished after 589 time steps with total reward = 10422.00, explorations = 36, exploitations = 526, last epsilon used = 0.05.
Episode 200 finished after 547 time steps with total reward = 10422.00, explorations = 28, exploitations = 501, last epsilon used = 0.05.
Episode 300 finished after 569 time steps with total reward = 10422.00, explorations = 29, exploitations = 517, last epsilon used = 0.05.
Episode 400 finished after 568 time steps with total reward = 10422.00, explorations = 42, exploitations = 520, last epsilon used = 0.05.
Episode 500 finished after 581 time steps with total reward = 10422.00, explorations = 30, exploitations = 539, last epsilon used = 0.05.
Episode 600 finished after 367 time steps with total reward = -9759.00, explorations = 25, exploitations = 328, last epsilon used = 0.05.
Episode 700 finished after 641 time steps with total reward = 10422.00, explorations = 24, exploitations = 584, last epsilon used = 0.05.
Episode 800 finished after 345 time steps with total reward = -9756.00, explorations = 17, exploitations = 311, last epsilon used = 0.05.
Episode 900 finished after 475 time steps with total reward = -9694.00, explorations = 14, exploitations = 439, last epsilon used = 0.05.
Episode 0 finished after 432 time steps with total reward = -9698.00, explorations = 21, exploitations = 392, last epsilon used = 0.05.
Episode 100 finished after 437 time steps with total reward = -9720.00, explorations = 22, exploitations = 382, last epsilon used = 0.05.
Episode 200 finished after 542 time steps with total reward = 10422.00, explorations = 32, exploitations = 494, last epsilon used = 0.05.
Episode 300 finished after 623 time steps with total reward = 10422.00, explorations = 26, exploitations = 564, last epsilon used = 0.05.
Episode 400 finished after 337 time steps with total reward = -9757.00, explorations = 20, exploitations = 306, last epsilon used = 0.05.
Episode 500 finished after 432 time steps with total reward = -9694.00, explorations = 20, exploitations = 397, last epsilon used = 0.05.
Episode 600 finished after 617 time steps with total reward = 10422.00, explorations = 31, exploitations = 558, last epsilon used = 0.05.
Episode 700 finished after 540 time steps with total reward = 10422.00, explorations = 18, exploitations = 503, last epsilon used = 0.05.
Episode 800 finished after 466 time steps with total reward = -9724.00, explorations = 31, exploitations = 401, last epsilon used = 0.05.
Episode 900 finished after 313 time steps with total reward = -9762.00, explorations = 13, exploitations = 285, last epsilon used = 0.05.
Episode 0 finished after 565 time steps with total reward = 10422.00, explorations = 26, exploitations = 521, last epsilon used = 0.05.
Episode 100 finished after 254 time steps with total reward = -9844.00, explorations = 19, exploitations = 216, last epsilon used = 0.05.
Episode 200 finished after 312 time steps with total reward = -9753.00, explorations = 17, exploitations = 288, last epsilon used = 0.05.
Episode 300 finished after 456 time steps with total reward = -9694.00, explorations = 19, exploitations = 418, last epsilon used = 0.05.
Episode 400 finished after 532 time steps with total reward = 10422.00, explorations = 17, exploitations = 499, last epsilon used = 0.05.
Episode 500 finished after 514 time steps with total reward = -9694.00, explorations = 28, exploitations = 444, last epsilon used = 0.05.
Episode 600 finished after 601 time steps with total reward = 10422.00, explorations = 30, exploitations = 544, last epsilon used = 0.05.
Episode 700 finished after 561 time steps with total reward = 10422.00, explorations = 37, exploitations = 512, last epsilon used = 0.05.
Episode 800 finished after 517 time steps with total reward = 10422.00, explorations = 19, exploitations = 492, last epsilon used = 0.05.
Episode 900 finished after 312 time steps with total reward = -9757.00, explorations = 16, exploitations = 286, last epsilon used = 0.05.
Episode 0 finished after 103 time steps with total reward = -9938.00, explorations = 3, exploitations = 85, last epsilon used = 0.05.
Episode 100 finished after 529 time steps with total reward = 10422.00, explorations = 18, exploitations = 496, last epsilon used = 0.05.
Episode 200 finished after 293 time steps with total reward = -9758.00, explorations = 12, exploitations = 276, last epsilon used = 0.05.
Episode 300 finished after 311 time steps with total reward = -9762.00, explorations = 19, exploitations = 284, last epsilon used = 0.05.
Episode 400 finished after 524 time steps with total reward = 10422.00, explorations = 22, exploitations = 483, last epsilon used = 0.05.
Episode 500 finished after 337 time steps with total reward = -9762.00, explorations = 11, exploitations = 313, last epsilon used = 0.05.
Episode 600 finished after 525 time steps with total reward = 10422.00, explorations = 28, exploitations = 490, last epsilon used = 0.05.
